Detector Type, Descriptor Type, KeypointsDetectors, KeypointsDescriptors, Matches, DetectorsDetectionTime (ms), TotalDetectionTime (ms), TTC Lidar, TTC Camera
HARRIS,BRIEF,15272,15272,837,272.305145,272.305145,8.966659,11.805772
HARRIS,BRIEF,16202,16202,829,268.372589,268.372589,11.180682,10.004934
HARRIS,BRIEF,17108,17108,860,270.486298,270.486298,7.688745,81.166976
HARRIS,ORB,1772,1772,820,254.183929,254.183929,13.031073,12.310703
HARRIS,ORB,2702,2702,845,254.884598,254.884598,11.255764,23.555329
HARRIS,ORB,3612,3612,871,255.859848,255.859848,19.597519,38.347183
HARRIS,ORB,4527,4527,849,258.625305,258.625305,17.319971,15.194424
HARRIS,ORB,5452,5452,858,255.075027,255.075027,11.890759,20.699718
HARRIS,ORB,6401,6401,857,258.335815,258.335815,10.069708,14.010349
HARRIS,ORB,7277,7277,874,261.511047,261.511047,14.617295,20.998734
HARRIS,ORB,8120,8120,821,263.189362,263.189362,14.517295,63.389704
HARRIS,ORB,9005,9005,788,264.654236,264.654236,14.143403,14.876537
HARRIS,ORB,9886,9886,842,267.340118,267.340118,14.043403,18.551620
HARRIS,ORB,10789,10789,813,265.515167,265.515167,10.532903,13.275383
HARRIS,ORB,11696,11696,838,267.308716,267.308716,11.243067,12.125211
HARRIS,ORB,12567,12567,822,270.525787,270.525787,8.397678,13.617766
HARRIS,ORB,13455,13455,797,269.319824,269.319824,11.363455,10.971141
HARRIS,ORB,14359,14359,799,272.317963,272.317963,8.128746,9.235802
HARRIS,ORB,15272,15272,820,272.940582,272.940582,8.966659,8.621809
HARRIS,ORB,16202,16202,815,272.535553,272.535553,11.180682,11.701007
HARRIS,ORB,17108,17108,852,273.528503,273.528503,7.688745,11.579917
